Year;State;NMFS Name;Pounds;Metric Tons;Dollars;Collection;Scientific Name;Tsn;Source
1960;NEW JERSEY;COD, ATLANTIC;3,553,800;1,612;299,259;Commercial;Gadus morhua;164712;ACCSPHIST
1960;NEW YORK;COD, ATLANTIC;998,300;453;110,290;Commercial;Gadus morhua;164712;ACCSPHIST
1960;OREGON;COD, PACIFIC;236,000;107;10,621;Commercial;Gadus macrocephalus;164711;PACFINHIST
1960;RHODE ISLAND;COD, ATLANTIC;822,500;373;61,768;Commercial;Gadus morhua;164712;ACCSPHIST
1960;VIRGINIA;COD, ATLANTIC;9,200;4;771;Commercial;Gadus morhua;164712;ACCSPHIST
1960;WASHINGTON;COD, PACIFIC;5,135,900;2,33;251,703;Commercial;Gadus macrocephalus;164711;PACFINHIST
1959;ALASKA;COD, PACIFIC;7,565;3;378;Commercial;Gadus macrocephalus;164711;AKFINHIST
1959;CONNECTICUT;COD, ATLANTIC;241,900;110;22,582;Commercial;Gadus morhua;164712;ACCSPHIST
1959;DELAWARE;COD, ATLANTIC;3,500;2;280;Commercial;Gadus morhua;164712;ACCSPHIST
1959;MAINE;COD, ATLANTIC;2,694,000;1,222;144,403;Commercial;Gadus morhua;164712;ACCSPHIST
1959;MARYLAND;COD, ATLANTIC;383,300;174;13,008;Commercial;Gadus morhua;164712;ACCSPHIST
1959;MASSACHUSETTS;COD, ATLANTIC;36,576,400;16,591;2,572,495;Commercial;Gadus morhua;164712;ACCSPHIST
1959;NEW JERSEY;COD, ATLANTIC;3,282,900;1,489;270,212;Commercial;Gadus morhua;164712;ACCSPHIST
1959;NEW YORK;COD, ATLANTIC;1,953,400;886;181,765;Commercial;Gadus morhua;164712;ACCSPHIST
1959;OREGON;COD, PACIFIC;358,700;163;16,143;Commercial;Gadus macrocephalus;164711;PACFINHIST
1959;RHODE ISLAND;COD, ATLANTIC;1,245,900;565;102,535;Commercial;Gadus morhua;164712;ACCSPHIST
1959;VIRGINIA;COD, ATLANTIC;100,300;45;5,128;Commercial;Gadus morhua;164712;ACCSPHIST
1959;WASHINGTON;COD, PACIFIC;12,961,400;5,879;648,076;Commercial;Gadus macrocephalus;164711;PACFINHIST
1958;ALASKA;COD, PACIFIC;12,330;6;370;Commercial;Gadus macrocephalus;164711;AKFINHIST
